"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI TIC MRM Frag=166.0V (** -> **) 02_WT_rRNA.d "
"No integration results available"
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 295.0) 02_WT_rRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\02_WT_rRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"15" ,6.115,6.140,6.156,10.01,19.34,12.40,24.56,1.97,0.041,0.046,52.60,49.74,6.107,6.115,6.156,6.165,46.23,46.23,0.75,56.24,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"16" ,6.156,6.222,6.231,14.98,42.35,27.15,36.76,4.32,0.074,0.070,49.74,56.06,6.156,6.165,6.239,6.255,46.23,46.24,0.50,61.22,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"17" ,6.231,6.263,6.296,10.82,40.28,25.83,26.55,4.11,0.066,0.058,56.06,53.41,6.239,6.255,6.288,6.296,46.24,46.24,1.33,57.06,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"18" ,6.296,6.379,6.395,20.56,92.15,59.09,50.43,9.40,0.099,0.099,53.41,61.29,6.288,6.296,6.404,6.404,46.24,46.24,0.27,66.80,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"19" ,6.395,6.445,6.495,18.97,102.74,65.87,46.55,10.48,0.100,0.083,61.29,61.77,6.404,6.404,6.470,6.487,46.24,46.25,1.00,65.22,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"20" ,6.495,6.545,6.570,32.04,119.84,76.84,78.61,12.23,0.075,0.102,61.77,74.81,6.470,6.487,6.570,6.578,46.25,46.25,0.44,78.29,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"21" ,6.570,6.619,6.644,40.76,155.96,100.00,100.00,15.91,0.075,0.083,74.81,81.13,6.570,6.578,6.644,6.652,46.25,46.25,0.67,87.01,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"22" ,6.644,6.661,6.752,39.00,143.54,92.04,95.69,14.64,0.108,0.059,81.13,50.48,6.644,6.652,6.752,6.760,46.25,46.26,6.00,85.26,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"23" ,6.752,6.777,6.850,5.19,15.11,9.69,12.73,1.54,0.098,0.046,50.48,46.26,6.752,6.760,6.934,6.975,46.26,46.26,2.06,51.45,,,  ,163.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"24" ,7.672,7.705,7.768,0.90,1.74,1.12,2.21,0.18,0.096,0.030,45.99,46.02,7.630,7.672,7.763,7.954,45.99,46.02,1.32,46.90,,,  ,163.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (525.0 -> 393.0) 07_WT-tRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"1" ,0.067,0.100,0.149,1.46,3.11,2.63,4.58,0.28,0.082,0.033,46.31,46.10,0.050,0.067,0.133,0.190,46.06,46.06,0.67,47.52,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"2" ,0.191,0.223,0.264,1.16,2.01,1.70,3.65,0.18,0.072,0.028,46.10,46.16,0.133,0.190,0.305,0.345,46.10,46.10,1.01,47.26,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"3" ,0.346,0.378,0.468,11.63,28.22,23.85,36.50,2.54,0.122,0.036,46.10,46.17,0.305,0.345,0.452,0.468,46.10,46.11,1.79,57.74,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"4" ,0.468,0.501,0.509,2.33,3.43,2.90,7.31,0.31,0.041,0.033,46.17,47.42,0.452,0.468,0.509,0.517,46.11,46.11,0.53,48.44,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"5" ,0.509,0.582,0.599,6.34,19.53,16.50,19.88,1.76,0.090,0.052,47.42,48.30,0.509,0.517,0.590,0.599,46.11,46.11,0.22,52.45,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"6" ,0.599,0.631,0.721,12.34,46.39,39.20,38.71,4.18,0.122,0.063,48.30,47.53,0.590,0.599,0.713,0.721,46.11,46.12,2.20,58.46,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"7" ,0.721,0.754,0.811,13.65,32.19,27.20,42.81,2.90,0.090,0.034,47.53,46.90,0.713,0.721,0.802,0.811,46.12,46.12,1.14,59.77,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"8" ,0.811,0.843,0.908,4.10,9.11,7.70,12.85,0.82,0.098,0.033,46.90,46.28,0.802,0.811,0.884,0.908,46.12,46.13,0.94,50.22,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"9" ,0.908,0.941,1.042,5.70,13.35,11.28,17.87,1.20,0.134,0.037,46.28,46.13,0.884,0.908,1.022,1.177,46.13,46.13,1.53,51.82,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"10" ,1.177,1.209,1.299,11.86,37.88,32.01,37.22,3.41,0.122,0.051,46.14,46.56,1.022,1.177,1.291,1.315,46.14,46.14,2.10,58.00,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"11" ,1.299,1.332,1.372,0.84,1.91,1.61,2.63,0.17,0.073,0.047,46.56,46.16,1.291,1.315,1.356,1.421,46.14,46.14,0.76,46.98,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"12" ,1.413,1.494,1.559,4.30,14.72,12.43,13.50,1.32,0.146,0.064,46.14,46.22,1.356,1.421,1.535,1.559,46.14,46.15,0.49,50.45,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"13" ,1.559,1.592,1.657,7.60,15.67,13.24,23.86,1.41,0.098,0.031,46.22,46.33,1.535,1.559,1.657,1.747,46.15,46.15,1.17,53.76,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"14" ,1.747,1.779,1.845,10.47,21.79,18.41,32.86,1.96,0.098,0.031,46.16,46.42,1.657,1.747,1.853,1.934,46.16,46.16,1.23,56.63,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"15" ,1.894,1.967,1.984,1.34,2.66,2.25,4.20,0.24,0.090,0.032,46.21,46.54,1.853,1.934,1.975,1.984,46.16,46.17,0.50,47.51,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"16" ,1.984,2.057,2.148,7.64,32.22,27.23,23.97,2.90,0.164,0.069,46.54,46.78,1.975,1.984,2.123,2.148,46.17,46.17,1.24,53.81,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"17" ,2.148,2.181,2.246,3.43,7.71,6.51,10.77,0.69,0.099,0.033,46.78,46.25,2.123,2.148,2.222,2.246,46.17,46.18,0.66,49.61,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"18" ,2.246,2.279,2.329,1.45,2.97,2.51,4.55,0.27,0.082,0.032,46.25,46.24,2.222,2.246,2.304,2.329,46.18,46.18,1.01,47.63,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"19" ,2.329,2.362,2.386,0.69,1.32,1.11,2.15,0.12,0.058,0.032,46.24,46.31,2.304,2.329,2.370,2.386,46.18,46.18,0.75,46.86,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"20" ,2.395,2.460,2.526,4.99,13.72,11.59,15.64,1.23,0.132,0.042,46.72,46.39,2.370,2.386,2.518,2.526,46.18,46.19,1.60,51.17,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"21" ,2.526,2.559,2.608,2.74,5.65,4.77,8.59,0.51,0.082,0.032,46.39,46.27,2.518,2.526,2.592,2.608,46.19,46.19,1.06,48.93,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"22" ,2.608,2.641,2.707,4.75,9.88,8.35,14.89,0.89,0.099,0.031,46.27,46.26,2.592,2.608,2.699,2.871,46.19,46.19,1.15,50.94,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"23" ,2.871,2.904,2.945,0.55,1.21,1.02,1.74,0.11,0.074,0.033,46.25,46.25,2.699,2.871,2.929,3.019,46.20,46.20,1.21,46.75,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"24" ,3.019,3.076,3.125,5.98,23.05,19.47,18.75,2.07,0.106,0.072,46.23,47.40,2.929,3.019,3.117,3.125,46.20,46.21,0.89,52.18,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"25" ,3.125,3.158,3.191,6.66,14.67,12.39,20.90,1.32,0.066,0.033,47.40,48.24,3.117,3.125,3.182,3.182,46.21,46.21,0.60,52.87,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"26" ,3.191,3.248,3.289,31.88,118.34,100.00,100.00,10.65,0.098,0.076,48.24,66.27,3.182,3.182,3.297,3.297,46.21,46.21,1.03,78.09,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"27" ,3.289,3.297,3.379,23.73,82.53,69.74,74.43,7.43,0.090,0.056,66.27,52.70,3.289,3.289,3.371,3.379,46.21,46.22,10.01,69.94,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"28" ,3.379,3.403,3.436,16.28,36.34,30.71,51.07,3.27,0.057,0.037,52.70,49.63,3.371,3.379,3.436,3.444,46.22,46.22,1.25,62.50,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"29" ,3.436,3.502,3.518,12.26,37.91,32.03,38.47,3.41,0.082,0.051,49.63,54.69,3.436,3.444,3.510,3.518,46.22,46.22,0.25,58.49,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"30" ,3.518,3.543,3.649,17.19,44.36,37.48,53.91,3.99,0.131,0.039,54.69,46.47,3.510,3.518,3.649,3.698,46.22,46.23,1.62,63.41,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"31" ,3.698,3.730,3.796,7.10,14.64,12.37,22.28,1.32,0.098,0.031,46.30,46.33,3.649,3.698,3.788,3.820,46.23,46.23,1.17,53.33,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"32" ,3.818,3.853,3.918,7.20,14.54,12.28,22.59,1.31,0.100,0.031,46.23,46.29,3.788,3.820,3.918,4.040,46.23,46.24,1.07,53.44,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"33" ,4.024,4.089,4.154,21.03,48.88,41.30,65.96,4.40,0.130,0.033,46.29,46.72,3.918,4.040,4.178,4.365,46.24,46.25,1.18,67.27,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"34" ,4.706,4.771,4.859,14.56,42.70,36.08,45.66,3.84,0.153,0.035,46.32,46.30,4.479,4.682,4.844,4.868,46.29,46.30,0.69,60.85,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"35" ,4.910,4.933,4.941,2.68,1.82,1.54,8.42,0.16,0.031,0.038,50.18,48.43,4.844,4.868,4.965,4.973,50.18,48.43,0.12,51.55,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"36" ,5.014,5.047,5.055,8.21,13.06,11.04,25.76,1.18,0.041,0.023,46.76,50.46,4.965,4.973,5.079,5.087,46.76,50.46,0.30,57.93,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"37" ,5.354,5.413,5.423,13.83,28.80,24.33,43.37,2.59,0.069,0.033,53.48,53.98,5.291,5.307,5.462,5.470,53.48,53.98,0.14,67.73,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"38" ,5.486,5.502,5.506,3.37,1.30,1.10,10.56,0.12,0.020,0.011,54.43,54.57,5.462,5.470,5.518,5.527,54.43,54.57,0.23,57.91,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"39" ,5.607,5.624,5.632,9.14,9.63,8.14,28.67,0.87,0.026,0.027,60.51,67.10,5.575,5.592,5.641,5.641,60.51,60.51,1.03,69.65,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"40" ,5.649,5.657,5.665,6.40,3.14,2.66,20.08,0.28,0.016,0.022,67.27,63.71,5.641,5.641,5.706,5.722,67.27,63.71,0.35,71.88,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"41" ,5.823,5.836,5.853,7.12,4.42,3.74,22.33,0.40,0.030,0.013,62.50,61.55,5.795,5.804,5.861,5.869,62.50,61.55,0.55,69.19,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"42" ,5.913,5.935,5.946,3.78,4.17,3.53,11.87,0.38,0.033,0.051,59.64,58.59,5.861,5.869,5.951,5.960,59.64,58.59,0.16,62.73,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"43" ,5.960,6.017,6.046,16.03,26.11,22.06,50.29,2.35,0.086,0.018,56.69,62.55,5.951,5.960,6.042,6.050,55.91,62.55,1.20,76.37,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"44" ,6.050,6.066,6.091,9.68,14.09,11.91,30.37,1.27,0.041,0.037,62.14,56.45,6.042,6.050,6.091,6.107,57.25,56.45,0.85,66.61,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"45" ,6.109,6.165,6.205,19.42,59.88,50.60,60.93,5.39,0.096,0.057,56.95,55.42,6.091,6.107,6.206,6.223,56.95,55.42,0.59,75.47,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"46" ,6.239,6.272,6.305,9.67,20.74,17.52,30.34,1.87,0.066,0.046,57.98,66.41,6.206,6.223,6.313,6.313,57.98,66.41,1.97,71.87,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"47" ,6.321,6.346,6.380,9.56,19.18,16.20,29.99,1.73,0.058,0.040,68.13,73.14,6.313,6.313,6.388,6.404,68.13,73.14,2.84,79.84,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"48" ,6.405,6.429,6.452,2.89,3.51,2.97,9.05,0.32,0.046,0.020,73.47,74.49,6.388,6.404,6.446,6.454,73.47,74.49,1.27,76.88,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"49" ,6.454,6.471,6.494,4.79,6.98,5.90,15.02,0.63,0.040,0.031,74.39,72.26,6.446,6.454,6.496,6.504,74.24,72.26,0.83,78.18,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"50" ,6.515,6.529,6.558,7.11,8.40,7.10,22.30,0.76,0.043,0.020,77.16,77.42,6.496,6.504,6.562,6.570,77.16,77.42,2.16,84.35,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"51" ,6.572,6.612,6.620,9.68,19.89,16.81,30.37,1.79,0.048,0.038,77.50,85.06,6.562,6.570,6.620,6.620,77.50,77.78,0.23,87.41,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"52" ,6.620,6.628,6.654,11.17,14.20,12.00,35.04,1.28,0.034,0.031,85.06,77.98,6.612,6.612,6.661,6.670,77.78,77.98,1.50,89.00,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"53" ,6.943,6.968,6.984,1.52,2.14,1.81,4.77,0.19,0.041,0.069,47.80,47.30,6.860,6.893,6.984,7.001,47.80,47.30,0.15,49.02,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"54" ,7.177,7.208,7.233,9.05,14.30,12.09,28.40,1.29,0.056,0.028,49.00,48.87,7.167,7.167,7.233,7.249,49.00,48.82,0.58,57.95,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"55" ,7.291,7.316,7.349,3.83,6.26,5.29,12.00,0.56,0.058,0.029,48.05,46.99,7.274,7.283,7.382,7.424,48.05,46.99,0.64,51.42,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"56" ,7.432,7.473,7.507,1.83,5.45,4.61,5.74,0.49,0.075,0.056,46.41,46.90,7.382,7.424,7.507,7.523,46.41,46.90,1.41,48.51,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"57" ,7.530,7.590,7.623,2.07,4.37,3.69,6.51,0.39,0.093,0.038,47.81,48.02,7.507,7.523,7.614,7.614,47.81,47.50,0.42,49.69,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"58" ,7.623,7.639,7.677,2.77,5.21,4.40,8.68,0.47,0.054,0.048,48.02,47.32,7.614,7.614,7.673,7.697,47.50,47.32,1.19,50.21,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"59" ,7.684,7.747,7.772,2.53,5.52,4.66,7.94,0.50,0.088,0.035,47.29,46.99,7.673,7.697,7.789,7.805,47.29,46.99,0.35,49.61,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"60" ,7.822,7.872,7.913,2.06,3.97,3.35,6.47,0.36,0.091,0.029,46.67,46.31,7.789,7.805,7.905,7.930,46.67,46.31,0.50,48.53,,,  ,393.0,,,,,,,,,,,

"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d"," +ESI MRM Frag=166.0V CID@10.0 (509.0 -> 377.0) 07_WT-tRNA.d "
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"1" ,0.059,0.092,0.149,1.79,5.29,3.55,4.05,0.49,0.090,0.060,46.21,46.85,0.051,0.059,0.133,0.149,46.21,46.21,1.87,48.00,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"2" ,0.149,0.157,0.214,1.17,2.58,1.73,2.64,0.24,0.064,0.055,46.85,46.21,0.133,0.149,0.231,0.297,46.21,46.21,2.00,47.38,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"3" ,0.297,0.329,0.354,7.04,13.08,8.78,15.94,1.22,0.056,0.032,46.21,48.08,0.231,0.297,0.346,0.354,46.21,46.21,0.85,53.25,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"4" ,0.354,0.387,0.444,5.93,13.13,8.81,13.42,1.22,0.090,0.035,48.08,46.21,0.346,0.354,0.460,0.493,46.21,46.21,0.79,52.14,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"5" ,0.494,0.525,0.570,2.96,5.12,3.43,6.69,0.48,0.076,0.029,46.21,46.21,0.460,0.493,0.566,0.574,46.21,46.21,0.96,49.17,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"6" ,0.575,0.640,0.778,44.17,149.06,100.00,100.00,13.88,0.203,0.054,46.21,46.22,0.566,0.574,0.803,0.819,46.21,46.21,1.50,90.39,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"7" ,0.820,0.852,0.876,2.83,4.78,3.21,6.40,0.45,0.056,0.029,46.22,46.75,0.803,0.819,0.868,0.876,46.22,46.22,0.81,49.04,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"8" ,0.876,0.909,0.974,5.75,11.91,7.99,13.01,1.11,0.098,0.031,46.75,46.22,0.868,0.876,0.990,1.015,46.22,46.22,1.03,51.96,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"9" ,1.017,1.047,1.071,1.03,1.62,1.09,2.33,0.15,0.055,0.027,46.22,46.29,0.990,1.015,1.055,1.071,46.22,46.22,0.78,47.25,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"10" ,1.071,1.104,1.137,12.31,23.76,15.94,27.87,2.21,0.065,0.031,46.29,47.53,1.055,1.071,1.128,1.137,46.22,46.22,1.05,58.53,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"11" ,1.137,1.193,1.343,13.69,74.80,50.18,30.99,6.96,0.207,0.097,47.53,46.22,1.128,1.137,1.462,1.584,46.22,46.22,1.68,59.91,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"12" ,1.586,1.617,1.682,4.94,11.15,7.48,11.18,1.04,0.096,0.032,46.22,46.36,1.462,1.584,1.673,1.682,46.22,46.22,1.89,51.16,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"13" ,1.682,1.714,1.779,5.67,11.51,7.72,12.83,1.07,0.098,0.031,46.36,46.29,1.673,1.682,1.820,1.845,46.22,46.22,1.05,51.89,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"14" ,1.845,1.878,1.943,9.47,18.19,12.20,21.45,1.69,0.098,0.031,46.22,46.37,1.820,1.845,1.959,1.992,46.22,46.22,1.16,55.70,,,  ,377.0,,,,,,,,,,,
"D:\Masshunter_6495_data\101421\pseudomonas WT test_Leon\07_WT-tRNA.d" ,"15" ,1.968,2.041,2.107,4.88,10.19,6.83,11.05,0.95,0.139,0.031,46.22,46.28,1.959,1.992,2.132,2.206,46.22,46.22,1.13,51.10,,,  ,377.0,,,,,,,,,,,
