"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\75_F7.d"," DAD1 - B:Sig=260,4  Ref=360,60 75_F7.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\75_F7.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\75_F7.d" ,"1" ,0.364,0.379,0.392,16.52,17.00,16.08,43.83,4.68,0.028,0.033,-0.52,-24.80,0.353,0.355,0.394,0.394,-0.52,-24.80,0.35,3.31,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\75_F7.d" ,"2" ,0.407,0.422,0.479,10.71,25.78,24.38,28.42,7.10,0.072,0.037,-0.26,2.49,0.394,0.394,0.461,0.484,-0.26,-0.26,4.18,10.44,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\75_F7.d" ,"3" ,0.479,0.504,0.560,9.64,23.71,22.42,25.59,6.53,0.082,0.036,2.49,0.57,0.461,0.484,0.553,0.565,-0.26,-0.26,1.22,9.38,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\75_F7.d" ,"4" ,0.560,0.576,0.587,2.57,3.14,2.97,6.82,0.86,0.027,0.024,0.57,1.62,0.553,0.565,0.580,0.590,-0.26,-0.26,0.57,2.31,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\75_F7.d" ,"5" ,0.587,0.604,0.659,37.68,50.20,47.47,100.00,13.83,0.072,0.018,1.62,-0.03,0.580,0.590,0.659,0.660,-0.08,-0.03,2.97,37.61,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\75_F7.d" ,"6" ,0.736,0.767,0.811,1.00,2.05,1.94,2.64,0.56,0.075,0.031,-0.02,-0.41,0.733,0.740,0.819,0.822,-0.02,-0.41,0.82,0.82,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\75_F7.d" ,"7" ,0.825,0.847,0.883,0.85,1.39,1.32,2.25,0.38,0.059,0.026,-0.45,-0.28,0.819,0.822,0.885,0.892,-0.45,-0.28,2.52,0.46,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\75_F7.d" ,"8" ,1.156,1.216,1.327,14.29,46.85,44.31,37.91,12.90,0.171,0.050,-0.37,-0.25,1.153,1.156,1.326,1.329,-0.37,-0.25,1.51,13.96,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\75_F7.d" ,"9" ,3.179,3.295,3.446,17.12,105.74,100.00,45.44,29.12,0.266,0.097,-0.97,-0.63,3.164,3.167,3.468,3.470,-0.97,-0.63,1.26,16.30,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\75_F7.d" ,"10" ,3.494,3.596,3.701,17.17,81.45,77.02,45.56,22.43,0.207,0.075,-0.98,-1.23,3.489,3.494,3.714,3.721,-0.98,-1.23,1.09,16.06,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\75_F7.d" ,"11" ,3.823,3.868,3.922,1.03,3.23,3.06,2.73,0.89,0.099,0.050,-1.46,-1.73,3.816,3.819,3.921,3.923,-1.46,-1.77,0.82,-0.57,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\75_F7.d" ,"12" ,4.472,4.515,4.558,0.58,1.38,1.31,1.55,0.38,0.086,0.038,-2.41,-2.40,4.467,4.469,4.568,4.573,-2.41,-2.40,0.95,-1.82,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\75_F7.d" ,"13" ,5.447,5.468,5.509,0.75,1.14,1.08,2.00,0.31,0.062,0.023,-6.98,-6.92,5.439,5.444,5.508,5.510,-6.98,-6.92,1.66,-6.20,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\76_F8.d"," DAD1 - B:Sig=260,4  Ref=360,60 76_F8.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\76_F8.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\76_F8.d" ,"1" ,0.363,0.379,0.391,19.58,20.49,7.25,58.87,3.29,0.028,0.032,-0.67,-29.19,0.354,0.356,0.394,0.394,-0.67,-29.19,0.36,3.39,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\76_F8.d" ,"2" ,0.407,0.423,0.476,11.76,28.40,10.05,35.37,4.56,0.069,0.039,-0.38,2.74,0.394,0.394,0.461,0.483,-0.38,-0.40,3.81,11.38,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\76_F8.d" ,"3" ,0.476,0.504,0.560,11.12,28.21,9.98,33.45,4.53,0.084,0.036,2.74,0.70,0.461,0.483,0.554,0.565,-0.40,-0.44,1.31,10.71,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\76_F8.d" ,"4" ,0.560,0.576,0.589,3.09,4.06,1.43,9.30,0.65,0.029,0.026,0.70,1.68,0.554,0.565,0.583,0.591,-0.44,-0.45,0.64,2.65,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\76_F8.d" ,"5" ,0.589,0.605,0.661,33.25,46.35,16.40,100.00,7.45,0.072,0.019,1.68,-0.10,0.583,0.591,0.659,0.661,-0.45,-0.48,2.92,32.80,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\76_F8.d" ,"6" ,0.661,0.684,0.744,0.89,3.37,1.19,2.66,0.54,0.083,0.073,-0.10,-0.10,0.659,0.661,0.739,0.746,-0.48,-0.52,2.51,0.39,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\76_F8.d" ,"7" ,1.162,1.220,1.326,12.28,40.56,14.35,36.93,6.52,0.164,0.051,-0.39,-0.25,1.155,1.161,1.325,1.328,-0.39,-0.25,1.49,11.94,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\76_F8.d" ,"8" ,3.175,3.302,3.490,15.47,97.87,34.63,46.51,15.72,0.315,0.098,-1.08,-1.04,3.164,3.167,3.490,3.493,-1.11,-1.04,1.27,14.38,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\76_F8.d" ,"9" ,3.507,3.599,3.706,15.24,70.58,24.97,45.82,11.34,0.200,0.073,-1.02,-1.30,3.495,3.502,3.724,3.728,-1.02,-1.30,1.11,14.09,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\76_F8.d" ,"10" ,7.106,7.291,7.505,19.55,282.62,100.00,58.79,45.40,0.399,0.302,-0.40,16.53,7.026,7.032,7.505,7.509,-0.40,16.53,1.84,27.00,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\77_F9.d"," DAD1 - B:Sig=260,4  Ref=360,60 77_F9.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\77_F9.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\77_F9.d" ,"1" ,0.361,0.378,0.391,25.26,27.32,9.56,100.00,5.10,0.029,0.032,-0.82,-38.21,0.353,0.355,0.393,0.393,-0.82,-38.21,0.37,3.60,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\77_F9.d" ,"2" ,0.406,0.423,0.474,13.60,33.83,11.84,53.85,6.31,0.067,0.042,-0.44,3.38,0.393,0.393,0.461,0.481,-0.44,-0.48,3.65,13.15,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\77_F9.d" ,"3" ,0.474,0.503,0.560,13.58,35.34,12.37,53.78,6.59,0.087,0.037,3.38,0.92,0.461,0.481,0.554,0.565,-0.48,-0.52,1.48,13.09,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\77_F9.d" ,"4" ,0.560,0.577,0.608,3.85,6.75,2.36,15.26,1.26,0.047,0.031,0.92,-0.54,0.554,0.565,0.611,0.613,-0.52,-0.54,1.22,3.33,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\77_F9.d" ,"5" ,7.101,7.296,7.505,19.46,285.70,100.00,77.05,53.30,0.404,0.302,-0.68,16.39,7.029,7.033,7.505,7.509,-0.68,16.39,1.73,27.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\77_F9.d" ,"6" ,7.506,7.516,8.029,3.52,147.11,51.49,13.96,27.44,0.523,0.094,15.84,2.15,7.505,7.509,8.837,8.840,15.84,2.01,16.02,19.12,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\78_F10.d"," DAD1 - B:Sig=260,4  Ref=360,60 78_F10.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\78_F10.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\78_F10.d" ,"1" ,0.365,0.379,0.392,14.23,14.21,4.99,37.08,2.22,0.028,0.032,-0.37,-20.56,0.354,0.356,0.394,0.395,-0.37,-20.56,0.35,3.45,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\78_F10.d" ,"2" ,0.407,0.422,0.480,10.30,24.54,8.62,26.84,3.84,0.073,0.036,-0.29,2.38,0.394,0.395,0.460,0.486,-0.29,-0.29,4.28,10.01,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\78_F10.d" ,"3" ,0.480,0.504,0.560,8.39,19.75,6.94,21.87,3.09,0.080,0.034,2.38,0.43,0.460,0.486,0.552,0.566,-0.29,-0.29,1.17,8.10,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\78_F10.d" ,"4" ,0.588,0.605,0.664,38.37,51.80,18.19,100.00,8.10,0.075,0.018,1.13,0.08,0.580,0.591,0.658,0.671,-0.03,0.02,2.92,38.35,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\78_F10.d" ,"5" ,1.160,1.218,1.341,14.85,47.91,16.83,38.70,7.49,0.180,0.049,-0.39,-0.28,1.156,1.161,1.340,1.342,-0.39,-0.28,1.50,14.50,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\78_F10.d" ,"6" ,3.181,3.299,3.486,18.07,113.43,39.84,47.10,17.74,0.305,0.097,-1.02,-0.96,3.173,3.175,3.486,3.491,-1.02,-0.96,1.25,17.08,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\78_F10.d" ,"7" ,3.498,3.592,3.699,17.92,83.05,29.17,46.70,12.99,0.200,0.073,-0.96,-1.23,3.494,3.497,3.714,3.727,-0.96,-1.23,1.14,16.83,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\78_F10.d" ,"8" ,7.103,7.291,7.505,19.63,284.71,100.00,51.15,44.53,0.403,0.302,-0.58,16.41,7.025,7.035,7.505,7.509,-0.58,16.41,1.83,26.98,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\79_F11.d"," DAD1 - B:Sig=260,4  Ref=360,60 79_F11.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\79_F11.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\79_F11.d" ,"1" ,0.362,0.378,0.391,19.58,21.17,7.44,49.69,2.61,0.030,0.033,-0.74,-28.73,0.352,0.354,0.394,0.394,-0.74,-28.73,0.36,3.46,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\79_F11.d" ,"2" ,0.407,0.424,0.480,11.75,29.13,10.24,29.82,3.59,0.073,0.039,-0.32,2.51,0.394,0.394,0.464,0.486,-0.32,-0.32,3.89,11.42,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\79_F11.d" ,"3" ,0.480,0.506,0.560,10.42,24.42,8.58,26.45,3.01,0.080,0.033,2.51,0.75,0.464,0.486,0.553,0.566,-0.32,-0.32,1.43,10.10,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\79_F11.d" ,"4" ,0.560,0.576,0.589,2.77,3.62,1.27,7.02,0.45,0.029,0.026,0.75,1.53,0.553,0.566,0.582,0.591,-0.32,-0.32,0.64,2.44,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\79_F11.d" ,"5" ,0.589,0.605,0.663,39.40,54.15,19.03,100.00,6.68,0.075,0.019,1.53,0.23,0.582,0.591,0.721,0.757,-0.07,-0.01,2.96,39.34,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\79_F11.d" ,"6" ,1.155,1.213,1.314,15.12,47.62,16.74,38.38,5.88,0.159,0.048,-0.32,-0.17,1.144,1.152,1.314,1.318,-0.32,-0.17,1.58,14.85,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\79_F11.d" ,"7" ,3.169,3.292,3.488,18.38,115.23,40.50,46.64,14.22,0.320,0.097,-1.01,-0.92,3.150,3.154,3.488,3.495,-1.01,-0.92,1.25,17.40,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\79_F11.d" ,"8" ,3.498,3.590,3.706,17.56,83.17,29.23,44.56,10.26,0.208,0.075,-0.87,-1.26,3.488,3.495,3.716,3.719,-0.87,-1.26,1.09,16.51,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\79_F11.d" ,"9" ,7.103,7.291,7.505,19.64,284.51,100.00,49.86,35.11,0.402,0.302,-0.51,16.43,7.026,7.033,7.505,7.509,-0.51,16.43,1.84,27.04,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\79_F11.d" ,"10" ,7.506,7.516,8.031,3.52,147.28,51.77,8.93,18.18,0.524,0.093,15.89,2.11,7.505,7.509,8.836,8.839,15.89,1.97,15.88,19.16,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\80_F12.d"," DAD1 - B:Sig=260,4  Ref=360,60 80_F12.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\80_F12.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\80_F12.d" ,"1" ,0.362,0.379,0.392,19.97,21.87,4.08,47.81,1.75,0.030,0.033,-0.83,-27.57,0.354,0.355,0.394,0.395,-0.83,-27.57,0.36,3.76,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\80_F12.d" ,"2" ,0.408,0.425,0.482,11.69,29.41,5.48,27.97,2.35,0.074,0.039,-0.36,2.42,0.394,0.395,0.465,0.488,-0.36,-0.36,3.89,11.33,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\80_F12.d" ,"3" ,0.482,0.506,0.561,9.71,21.01,3.92,23.24,1.68,0.078,0.030,2.42,0.56,0.465,0.488,0.552,0.567,-0.36,-0.36,1.27,9.35,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\80_F12.d" ,"4" ,0.590,0.607,0.676,41.77,59.12,11.02,100.00,4.72,0.085,0.019,1.10,0.46,0.582,0.592,0.746,0.749,-0.15,-0.09,3.02,41.64,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\80_F12.d" ,"5" ,1.164,1.220,1.317,17.32,53.42,9.96,41.46,4.27,0.153,0.047,-0.37,-0.13,1.159,1.164,1.317,1.320,-0.37,-0.13,1.62,17.03,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\80_F12.d" ,"6" ,3.184,3.306,3.500,20.69,128.34,23.93,49.54,10.26,0.316,0.096,-1.03,-0.94,3.178,3.180,3.496,3.501,-1.03,-0.94,1.25,19.70,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\80_F12.d" ,"7" ,3.501,3.598,3.726,20.37,94.56,17.63,48.77,7.56,0.224,0.073,-0.92,-1.29,3.496,3.501,3.724,3.728,-0.92,-1.30,1.12,19.29,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\80_F12.d" ,"8" ,7.045,7.292,7.506,29.33,536.28,100.00,70.22,42.85,0.461,0.325,-3.50,15.71,7.028,7.030,7.505,7.509,-3.50,-1.35,1.24,26.98,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\80_F12.d" ,"9" ,7.506,7.516,8.049,12.96,307.40,57.32,31.02,24.56,0.542,0.344,15.71,1.35,7.505,7.509,8.835,8.839,6.24,1.24,43.26,19.11,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\82_G1.d"," DAD1 - B:Sig=260,4  Ref=360,60 82_G1.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\82_G1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\82_G1.d" ,"1" ,0.361,0.379,0.392,26.38,29.32,10.37,66.44,3.29,0.030,0.033,-1.09,-39.49,0.354,0.356,0.394,0.395,-1.09,-39.49,0.36,3.20,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\82_G1.d" ,"2" ,0.408,0.426,0.478,13.13,32.77,11.59,33.05,3.67,0.069,0.041,-0.39,2.80,0.394,0.395,0.466,0.484,-0.39,-0.39,3.25,12.74,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\82_G1.d" ,"3" ,0.478,0.505,0.561,12.62,29.86,10.56,31.78,3.35,0.084,0.033,2.80,0.76,0.466,0.484,0.553,0.567,-0.39,-0.39,1.32,12.23,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\82_G1.d" ,"4" ,0.561,0.579,0.598,3.06,4.69,1.66,7.70,0.53,0.037,0.028,0.76,0.96,0.553,0.567,0.591,0.601,-0.39,-0.39,0.89,2.67,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\82_G1.d" ,"5" ,0.598,0.619,0.707,39.71,69.46,24.56,100.00,7.79,0.109,0.024,0.96,0.50,0.591,0.601,0.770,0.774,-0.25,-0.20,2.64,39.48,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\82_G1.d" ,"6" ,1.194,1.253,1.364,18.12,58.54,20.70,45.62,6.56,0.170,0.050,-0.43,-0.25,1.191,1.196,1.361,1.366,-0.43,-0.25,1.55,17.75,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\82_G1.d" ,"7" ,3.242,3.357,3.536,22.36,136.90,48.41,56.29,15.35,0.293,0.095,-1.04,-0.99,3.219,3.222,3.539,3.545,-1.04,-0.99,1.24,21.34,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\82_G1.d" ,"8" ,3.548,3.636,3.737,22.97,100.31,35.47,57.83,11.25,0.189,0.069,-0.99,-1.15,3.539,3.545,3.749,3.754,-0.99,-1.15,1.12,21.90,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\82_G1.d" ,"9" ,7.107,7.292,7.505,19.51,282.77,100.00,49.12,31.70,0.398,0.301,-0.24,16.43,7.024,7.029,7.505,7.509,-0.24,16.43,1.81,27.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\82_G1.d" ,"10" ,7.506,7.515,8.025,3.44,147.29,52.09,8.67,16.51,0.519,0.091,15.92,2.43,7.505,7.509,8.793,8.796,15.92,2.04,17.35,19.13,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\83_G2.d"," DAD1 - B:Sig=260,4  Ref=360,60 83_G2.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\83_G2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\83_G2.d" ,"1" ,0.363,0.379,0.392,17.10,18.45,6.42,35.38,2.49,0.030,0.033,-0.67,-25.30,0.353,0.355,0.394,0.395,-0.67,-25.30,0.37,3.25,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\83_G2.d" ,"2" ,0.408,0.426,0.482,10.50,26.43,9.20,21.73,3.57,0.074,0.039,-0.37,2.11,0.394,0.395,0.466,0.488,-0.37,-0.37,3.67,10.13,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\83_G2.d" ,"3" ,0.482,0.509,0.560,9.87,23.58,8.21,20.42,3.18,0.078,0.034,2.11,0.77,0.466,0.488,0.553,0.566,-0.37,-0.37,1.35,9.50,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\83_G2.d" ,"4" ,0.560,0.576,0.589,2.72,3.52,1.22,5.63,0.47,0.028,0.026,0.77,1.41,0.553,0.566,0.582,0.591,-0.37,-0.37,0.64,2.35,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\83_G2.d" ,"5" ,0.589,0.606,0.676,48.33,68.28,23.76,100.00,9.22,0.087,0.019,1.41,0.59,0.582,0.591,0.737,0.746,-0.14,-0.07,2.99,48.20,,,  ,,,,,,,,,,,,
